[2026-01-18 22:10:23] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:15:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:15:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:15:38] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:15:40] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:15:42] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:16:13] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:16:15] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:16:17] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:16:18] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:16:20] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:16:21] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:16:53] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:16:55] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:16:57] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:16:58] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:17:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:17:02] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:17:33] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:17:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:17:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:17:39] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:17:40] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:17:42] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:18:13] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:18:15] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:18:17] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:18:18] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:18:20] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:18:21] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:54:13] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:54:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:15] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:16] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:16] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:17] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:54:48] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:54:49] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:50] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:51] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:52] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:54:53] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:55:24] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:55:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:55:26] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:55:27] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:55:28] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:55:29] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:56:00] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:56:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:02] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:03] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:04] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:05] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:56:36] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:56:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:38] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:39] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:40] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:56:41] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:57:11] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:57:12] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:13] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:15] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:16] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:57:47] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:57:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:49] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:50] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:51] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:57:52] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:58:23] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:58:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:58:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:58:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:58:26] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:58:27] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:58:58] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:58:59] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:02] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:03] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:59:34] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:59:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:38] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:59:39] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:00:10] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:00:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:12] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:13] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:15] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:00:46] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:00:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:49] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:00:50] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:01:21] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:01:22] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:01:23] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:01:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:01:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:01:26] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:01:57] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:01:58] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:01:59] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:02:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:02:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:02:02] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:02:33] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:02:34] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:02:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:02:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:02:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:02:38] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:03:09] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:03:10] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:12] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:13] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:14] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:03:45] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:03:46] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:46] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:03:49] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:04:20] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:04:21] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:04:22] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:04:23] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:04:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:04:25] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:04:56] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:04:57] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:04:58] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:04:59] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:05:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:05:01] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:05:32] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:05:33] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:05:34] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:05:34] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:05:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:05:36] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:06:07] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:06:08] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:09] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:10] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:12] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:06:43] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:06:45] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:50] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:52] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:06:55] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:07:28] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:07:29] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:07:30] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:07:31] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:07:31] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:07:32] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:08:03] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:08:04] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:05] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:06] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:07] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:08] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:08:39] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:08:40] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:41] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:42] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:43] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:08:44] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:09:15] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:09:16] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:17] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:18] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:19] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:20] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:09:50] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:09:52] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:52] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:53] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:54] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:09:55] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:10:26] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:10:27] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:10:28] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:10:29] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:10:30] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:10:31] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:11:02] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:11:03] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:04] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:05] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:05] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:06] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:11:37] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:11:38] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:39] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:40] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:41] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:11:42] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:12:13] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:12:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:15] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:16] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:17] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:18] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:12:49] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:12:50] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:51] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:51] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:52] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:12:53] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:13:24] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:13:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:13:26] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:13:27] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:13:28] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:13:29] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:14:00] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:14:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:02] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:03] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:04] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:05] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:14:36] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:14:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:38] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:39] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:40] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:14:40] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:15:11] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:15:13] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:15] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:16] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:15:47] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:15:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:49] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:50] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:51] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:15:52] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:16:23] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:16:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:26] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:27] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:28] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:16:59] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:17:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:02] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:02] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:03] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:17:34] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:17:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:38] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:39] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:18:10] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:18:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:12] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:13] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:15] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:18:46] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:18:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:49] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:50] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:19:21] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:19:22] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:23] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:26] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:19:57] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:19:58] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:59] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:01] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:20:32] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:20:33] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:34] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:37] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:21:08] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:21:09] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:10] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:12] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:13] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:21:44] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:21:45] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:46] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:49] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:22:20] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:22:21] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:22] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:23] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:25] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:22:56] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:22:57] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:58] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:59] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:01] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:23:32] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:23:33] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:34] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:37] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:24:07] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:24:08] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:09] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:10] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:12] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:24:43] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:24:44] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:45] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:46] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:47] ALERT: Anomaly detected | Reasons: Failed login
